  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.02 39624.69      7.98   970311     0.01     0.01  Hash#[]=
  0.02 39631.87      7.18   313446     0.02     0.22  REXML::Parent#index
  0.02 39638.87      7.00  1181998     0.01     0.01  Kernel.instance_of?
  0.02 39645.81      6.94   289455     0.02     0.07  REXML::Element#get_text
  0.02 39652.73      6.92   738364     0.01     0.01  REXML::Functions.namespace_context=
  0.02 39659.11      6.38    80104     0.08     0.20  REXML::Encoding.encoding=
  0.01 39665.00      5.89   738364     0.01     0.01  REXML::Functions.variables=
  0.01 39670.86      5.86    26701     0.22     0.89  REXML::IOSource#initialize
  0.01 39676.71      5.85   207580     0.03     1.05  Meta::Database#addTag
  0.01 39682.48      5.77   143179     0.04     0.28  Array#collect
  0.01 39688.23      5.75   207580     0.03     1.08  Meta::Core::Tag#initialize
  0.01 39693.77      5.54   207580     0.03     0.04  Meta::Core::Track#updateFromTag
  0.01 39699.24      5.47   863812     0.01     0.01  Fixnum#%
  0.01 39704.65      5.41   158751     0.03     0.08  REXML::Element#root_node
  0.01 39710.00      5.35   739903     0.01     0.01  Hash#initialize_copy
  0.01 39715.30      5.30   681060     0.01     0.01  SQLite3::Statement#column_count
  0.01 39720.38      5.08   662588     0.01     0.01  Array#empty?
  0.01 39724.97      4.59   787866     0.01     0.01  BasicObject#initialize
  0.01 39729.40      4.43   518964     0.01     0.01  Hash#store
  0.01 39733.79      4.39    92055     0.05     0.07  Array#<=>
  0.01 39738.07      4.28   610118     0.01     0.01  String#to_s
  0.01 39742.01      3.94    17824     0.22     1.77  Open3.popen_run
  0.01 39745.85      3.84    53402     0.07     0.21  REXML::Document#add
  0.01 39749.68      3.83    80104     0.05     0.10  REXML::Encoding.find_encoding
  0.01 39753.48      3.80    55520     0.07     0.20  Array#sort
  0.01 39757.20      3.72    26459     0.14  1131.07  Meta::MusicBrainz::Recording#getFromXML
  0.01 39760.90      3.70    17824     0.21     2.33  Open3.popen3
  0.01 39764.59      3.69   466413     0.01     0.01  SQLite3::Database#encoding
  0.01 39768.21      3.62    52917     0.07   341.34  REXML::XPathParser#descendant_or_self
  0.01 39771.81      3.60   518973     0.01     0.01  Hash#has_key?
  0.01 39775.27      3.46    19253     0.18     3.00  Meta::Database#getID
  0.01 39778.73      3.46   340564     0.01     0.01  SQLite3::Statement#close
  0.01 39782.07      3.34   182490     0.02     0.02  Kernel.===
  0.01 39785.30      3.23    27004     0.12     1.05  Kernel.require
  0.01 39788.44      3.14   400225     0.01     0.01  SQLite3::Statement#done?
  0.01 39791.45      3.01    52916     0.06     2.33  REXML::XPathParser#document_order
  0.01 39794.37      2.92   344688     0.01     0.01  REXML::XMLDecl#node_type
  0.01 39797.25      2.88    53472     0.05     0.08  IO#pipe
  0.01 39800.10      2.85   340563     0.01     0.01  Module#const_defined?
  0.01 39802.87      2.77   361032     0.01     0.01  REXML::Document#document
  0.01 39805.58      2.71    27648     0.10    10.66  Meta::Database#getCachedMbQuery
  0.01 39808.09      2.51    17824     0.14     0.16  Process.detach
  0.01 39810.59      2.50    53402     0.05     0.29  REXML::Source#encoding=
  0.01 39813.07      2.48    35686     0.07     0.09  IO#read
  0.01 39815.50      2.43    27648     0.09    10.93  Meta::MusicBrainz::Service#mbRequest
  0.01 39817.92      2.42     1189     2.04     3.97  Range#each
  0.01 39820.25      2.33    26701     0.09     0.13  REXML::Encoding.check_encoding
  0.01 39822.54      2.29    26459     0.09  1332.89  Meta::MusicBrainz::Recording#getFromMbid
  0.01 39824.75      2.21    83560     0.03  2077.69  REXML::Elements#each
  0.01 39826.92      2.17    26702     0.08     0.35  REXML::XMLDecl#initialize
  0.01 39829.06      2.14   132192     0.02     0.02  IO#write
  0.01 39831.12      2.06    26701     0.08     1.97  REXML::SourceFactory#create_from
  0.01 39833.18      2.06    90258     0.02     0.03  REXML::XPathParser#compare
  0.00 39835.09      1.91    57184     0.03     0.07  IO#puts
  0.00 39836.95      1.86   207587     0.01     0.01  String#downcase
  0.00 39838.76      1.81    17824     0.10     4.68  Meta::Core::Track#createFromFilename
  0.00 39840.56      1.80    17824     0.10     2.46  Open3.capture3
  0.00 39842.30      1.74    26701     0.07   223.52  REXML::Document#initialize
  0.00 39844.02      1.72   277030     0.01     0.01  Fixnum#<=>
  0.00 39845.71      1.69     4969     0.34     1.90  Meta::Database#selectById
  0.00 39847.36      1.65   197326     0.01     0.01  Kernel.respond_to?
  0.00 39848.99      1.63    53472     0.03     0.08  Thread#value
  0.00 39850.61      1.62    17824     0.09     0.21  Shellwords.shellescape
  0.00 39852.22      1.61    82626     0.02     0.02  Meta::MusicBrainz::Artist#initialize
  0.00 39853.77      1.55   237017     0.01     0.01  REXML::Document#node_type
  0.00 39855.29      1.52    53402     0.03     0.11  REXML::Elements#size
  0.00 39856.79      1.50    26702     0.06     0.24  REXML::XMLDecl#encoding=
  0.00 39858.21      1.42    26701     0.05     0.97  REXML::Document#add_element
  0.00 39859.63      1.42   106944     0.01     0.01  IO#initialize
  0.00 39860.95      1.32    53472     0.02     0.05  Pathname#initialize
  0.00 39862.26      1.31   208092     0.01     0.01  Kernel.respond_to_missing?
  0.00 39863.56      1.30    35648     0.04     0.06  Thread#new
  0.00 39864.77      1.21    53402     0.02     0.08  REXML::Parent#each
  0.00 39865.98      1.21   121491     0.01     0.01  Kernel.sprintf
  0.00 39867.16      1.18    26701     0.04     2.01  REXML::Parsers::BaseParser#stream=
  0.00 39868.32      1.16    57057     0.02     0.09  Kernel.puts
  0.00 39869.48      1.16    53473     0.02     0.02  String#split
  0.00 39870.64      1.16   149442     0.01     0.01  SQLite3::Statement#column_name
  0.00 39871.77      1.13   149442     0.01     0.01  SQLite3::Statement#column_decltype
  0.00 39872.88      1.11    26701     0.04     0.52  REXML::Source#initialize
  0.00 39873.98      1.10    26701     0.04   223.18  REXML::Document#build
  0.00 39875.02      1.04    47858     0.02    17.78  Enumerable.each_with_index
  0.00 39876.05      1.03    26459     0.04     0.09  Meta::MusicBrainz::Recording#initialize
  0.00 39877.07      1.02   106944     0.01     0.01  IO#close
  0.00 39878.08      1.01   165250     0.01     0.01  Kernel.is_a?
  0.00 39879.03      0.95    17824     0.05     4.20  Meta::Database#addTrack
  0.00 39879.93      0.90    26701     0.03     2.05  REXML::Parsers::BaseParser#initialize
  0.00 39880.77      0.84    90258     0.01     0.01  Hash#key
  0.00 39881.57      0.80    35648     0.02     0.02  Thread#initialize
  0.00 39882.35      0.78    35648     0.02     0.05  Pathname#to_s
  0.00 39883.12      0.77    90681     0.01     0.01  String#to_i
  0.00 39883.87      0.75   104482     0.01     0.01  Array#reverse
  0.00 39884.58      0.71    90258     0.01     0.01  REXML::Attribute#node_type
  0.00 39885.28      0.70    17824     0.04     0.10  Pathname#dirname
  0.00 39885.96      0.68    21856     0.03     0.06  Meta::MusicBrainz::Work#initialize
  0.00 39886.61      0.65   106094     0.01     0.01  Fixnum#-
  0.00 39887.25      0.64    17824     0.04     0.09  Pathname#basename
  0.00 39887.87      0.62    26701     0.02     2.09  REXML::Parsers::TreeParser#initialize
  0.00 39888.48      0.61    17824     0.03     2.15  Meta::Database#updateTrack
  0.00 39889.04      0.56    80106     0.01     0.01  String#upcase
  0.00 39889.56      0.52     7908     0.07     0.15  REXML::Text#expand
  0.00 39890.05      0.49    26701     0.02     0.03  REXML::Encoding.encode
  0.00 39890.53      0.48    17824     0.03     2.18  Meta::Core::Track#store
  0.00 39891.01      0.48    26701     0.02     0.02  StringIO#initialize
  0.00 39891.41      0.40    53408     0.01     0.01  String#force_encoding
  0.00 39891.80      0.39     1189     0.33     7.45  Meta::Core::Disc#calcMbDiscID
  0.00 39892.15      0.35    27004     0.01     0.01  Gem.unresolved_deps
  0.00 39892.50      0.35    26458     0.01     0.01  Meta::MusicBrainz::Track#initialize
  0.00 39892.84      0.34     6734     0.05     0.08  REXML::Entity#value
  0.00 39893.15      0.31    52918     0.01     0.01  Array#compact
  0.00 39893.45      0.30    35671     0.01     0.01  Hash#delete
  0.00 39893.74      0.29    18942     0.02     0.02  BasicObject#singleton_method_added
  0.00 39894.02      0.28    53472     0.01     0.01  IO#closed?
  0.00 39894.26      0.24    17902     0.01     0.01  File#dirname
  0.00 39894.50      0.24    26701     0.01     0.01  String#encode
  0.00 39894.69      0.19     1823     0.10 20849.84  Meta::MusicBrainz::Medium#initialize
  0.00 39894.88      0.19    17824     0.01     0.01  Process::Status#==
  0.00 39895.07      0.19    35784     0.01     0.01  Array#last
  0.00 39895.25      0.18    26722     0.01     0.01  String#+
  0.00 39895.43      0.18    17825     0.01     0.01  File#basename
  0.00 39895.60      0.17    26701     0.01     0.01  StringIO#external_encoding
  0.00 39895.77      0.17    39314     0.00     0.00  Fixnum#*
  0.00 39895.93      0.16    34237     0.00     0.00  Fixnum#/
  0.00 39896.09      0.16    26702     0.01     0.01  REXML::XMLDecl#dowrite
  0.00 39896.23      0.14    15816     0.01     0.01  String#bytesize
  0.00 39896.36      0.13    17862     0.01     0.01  String#empty?
  0.00 39896.49      0.13    17825     0.01     0.01  IO#sync=
  0.00 39896.61      0.12    26701     0.00     0.00  StringIO#read
  0.00 39896.72      0.11    17824     0.01     0.01  Thread#join
  0.00 39896.81      0.09      533     0.17     0.38  Pry::Command#command_regex
  0.00 39896.90      0.09       10     9.00     9.00  Dir#[]
  0.00 39896.99      0.09     1278     0.07     0.12  Rational#<=>
  0.00 39897.07      0.08    27004     0.00     0.00  Hash#empty?
  0.00 39897.15      0.08     1066     0.08     0.10  Pry::Command#convert_to_regex
  0.00 39897.22      0.07     4850     0.01     0.01  Module#method_added
  0.00 39897.29      0.07     1066     0.07     0.13  Rational#/
  0.00 39897.35      0.06     3012     0.02     1.73  Meta::Core::Track#addWork
  0.00 39897.40      0.05     2622     0.02     0.02  Hash#keys
  0.00 39897.45      0.05        2    25.00    45.00  Integer#times
  0.00 39897.50      0.05     6443     0.01     0.01  Fixnum#div
  0.00 39897.55      0.05      566     0.09     0.83  Time#strftime
  0.00 39897.60      0.05     7908     0.01     0.01  REXML.entity_expansion_text_limit
  0.00 39897.64      0.04      213     0.19     0.28  Time#-
  0.00 39897.68      0.04      426     0.09     0.26  Numeric#div
  0.00 39897.72      0.04      282     0.14     0.28  Gem::Version#initialize
  0.00 39897.76      0.04      852     0.05     0.05  Rational#floor
  0.00 39897.80      0.04     1189     0.03     0.07  Digest::Instance.digest
  0.00 39897.83      0.03     1189     0.03 33154.89  Meta::MusicBrainz::Release#getFromDiscID
  0.00 39897.86      0.03     1102     0.03     0.03  Kernel.instance_variable_set
  0.00 39897.89      0.03       88     0.34     0.45  Array#map
  0.00 39897.92      0.03      426     0.07     0.09  Rational#-
  0.00 39897.94      0.02      296     0.07 129063.65  Meta::MusicBrainz::Release#getFromXML
  0.00 39897.96      0.02     1740     0.01     0.01  Fixnum#to_s
  0.00 39897.98      0.02      569     0.04     0.04  Time#initialize
  0.00 39898.00      0.02      213     0.09     0.09  Rational#to_f
  0.00 39898.02      0.02      426     0.05     0.66  Numeric#divmod
  0.00 39898.04      0.02       49     0.41    11.43  Kernel.eval
  0.00 39898.06      0.02      126     0.16     0.32  Module#module_eval
  0.00 39898.08      0.02      108     0.19     0.74  Gem::Dependency#initialize
  0.00 39898.10      0.02       38     0.53     0.79  Gem::Specification#date=
  0.00 39898.12      0.02     1280     0.02     0.02  String#%
  0.00 39898.14      0.02      139     0.14     0.14  Module#attr_reader
  0.00 39898.16      0.02       38     0.53    14.21  Gem::Specification#initialize
  0.00 39898.18      0.02      282     0.07     0.14  Gem::Version#correct?
  0.00 39898.20      0.02      213     0.09     0.28  Time#+
  0.00 39898.22      0.02     2644     0.01     0.01  Bignum#<=>
  0.00 39898.24      0.02     1189     0.02     0.02  Digest::Base#update
