Measure Mode: wall_time
Thread ID: 10809340
Fiber ID: 12177700
Total: 7.283249
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000       14   Module#extend_object
  0.00      0.000     0.000     0.000     0.000       80   <Class::String>#allocate
  0.00      0.000     0.000     0.000     0.000       55   Kernel#block_given?
  0.00      0.000     0.000     0.000     0.000       16   OptionParser#search
  0.00      0.000     0.000     0.000     0.000        7   Symbol#id2name
  0.00      0.000     0.000     0.000     0.000        2   Array#-
  0.00      0.000     0.000     0.000     0.000       86   Array#uniq!
  0.00      0.000     0.000     0.000     0.000       20   Gem::Version#prerelease?
  0.00      0.000     0.000     0.000     0.000       13   <Class::HTTPClient>#attr_proxy
  0.00      0.000     0.000     0.000     0.000       25   Kernel#proc
  0.00      0.002     0.000     0.000     0.002        1   URI::Parser#initialize_regexp
  0.00      0.000     0.000     0.000     0.000       80   String#initialize_copy
  0.00      0.000     0.000     0.000     0.000       14   Kernel#extend
  0.00      0.000     0.000     0.000     0.000       69   Numeric#nonzero?
  0.00      0.000     0.000     0.000     0.000        1   OpenSSL::X509::Store#set_default_paths
  0.00      0.000     0.000     0.000     0.000       92   Kernel#Array
  0.00      4.581     0.000     0.000     4.581      291  *Kernel#require
  0.00      0.000     0.000     0.000     0.000        5   SQLite3::Statement#close
  0.00      0.000     0.000     0.000     0.000       57   Gem::Specification#dependencies
  0.00      0.000     0.000     0.000     0.000       20   Gem::Specification#version=
  0.00      0.000     0.000     0.000     0.000        1   Module#public_instance_methods
  0.00      0.000     0.000     0.000     0.000       50   Gem::Specification#platform
  0.00      0.000     0.000     0.000     0.000       35   Array#[]
  0.00      0.000     0.000     0.000     0.000       19   String#+
  0.00      0.000     0.000     0.000     0.000       81   Fixnum#<=>
  0.00      0.000     0.000     0.000     0.000       32   Module#protected
  0.00      0.000     0.000     0.000     0.000        7   Exception#initialize
  0.00      0.000     0.000     0.000     0.000       17   Module#public
  0.00      0.000     0.000     0.000     0.000       20   <Class::Gem::Version>#create
  0.00      0.000     0.000     0.000     0.000        3   Array#join
  0.00      0.000     0.000     0.000     0.000       60   Array#include?
  0.00      0.000     0.000     0.000     0.000       86   Array#compact!
  0.00      0.000     0.000     0.000     0.000       63   Array#pop
  0.00      0.041     0.000     0.000     0.041        7   <Class::Gem::Specification>#each
  0.00      0.000     0.000     0.000     0.000        2   Pry::Helpers::BaseHelpers#jruby?
  0.00      0.000     0.000     0.000     0.000       15   PrettyPrint#text
  0.00      0.000     0.000     0.000     0.000       20   Gem::Specification#authors=
  0.00      0.000     0.000     0.000     0.000       27   Array#<<
  0.00      0.000     0.000     0.000     0.000       60   Kernel#untaint
  0.00      0.000     0.000     0.000     0.000       19   CodeRay::PluginHost#validate_id
  0.00      0.000     0.000     0.000     0.000       14   Array#delete
  0.00      0.000     0.000     0.000     0.000       72   String#<=>
  0.00      0.000     0.000     0.000     0.000       19   Module#method_defined?
  0.00      0.000     0.000     0.000     0.000       67   Kernel#freeze
  0.00      0.000     0.000     0.000     0.000       33   Module#const_defined?
  0.00      0.000     0.000     0.000     0.000       63   Kernel#hash
  0.00      0.001     0.000     0.000     0.001        4   OptionParser#make_switch
  0.00      0.000     0.000     0.000     0.000       38   String#==
  0.00      0.000     0.000     0.000     0.000       20   Gem::Specification#base_dir
  0.00      0.000     0.000     0.000     0.000       58   Array#first
  0.00      0.000     0.000     0.000     0.000       65   Symbol#==
  0.00      0.004     0.000     0.000     0.004        6   <Module::Gem>#try_activate
  0.00      0.000     0.000     0.000     0.000        5   REXML::Entity#initialize
  0.00      0.021     0.000     0.000     0.021        2   BasicObject#instance_eval
  0.00      0.000     0.000     0.000     0.000       40   Fixnum#divmod
  0.00      0.000     0.000     0.000     0.000       12   Hash#keys
  0.00      0.000     0.000     0.000     0.000       15   Module#alias_method
  0.00      0.010     0.000     0.000     0.010       20   Comparable#>=
  0.00      0.000     0.000     0.000     0.000       20   Enumerable#grep
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#initialize
  0.00      0.000     0.000     0.000     0.000       10   Gem::Specification#original_name
  0.00      2.448     0.000     0.000     2.448        1   SQLite3::Database#execute_batch
  0.00      0.037     0.000     0.000     0.037        7   <Class::Gem::Specification>#_all
  0.00      0.000     0.000     0.000     0.000        8   OptionParser::Switch#initialize
  0.00      0.000     0.000     0.000     0.000        1   Kernel#caller
  0.00      0.000     0.000     0.000     0.000        8   <Object::Object>#[]
  0.00      0.000     0.000     0.000     0.000        7   PrettyPrint::GroupQueue#enq
  0.00      0.000     0.000     0.000     0.000        1   Slop::Option#initialize
  0.00      0.004     0.000     0.000     0.004        8   Enumerable#find
  0.00      0.000     0.000     0.000     0.000        2   IO#write
  0.00      0.000     0.000     0.000     0.000        3   Kernel#inspect
  0.00      0.000     0.000     0.000     0.000        2   Hash#each_value
  0.00      0.003     0.000     0.000     0.003        4   Forwardable#def_instance_delegators
  0.00      0.000     0.000     0.000     0.000       20   Kernel#!~
  0.00      0.000     0.000     0.000     0.000       25   Kernel#nil?
  0.00      0.000     0.000     0.000     0.000       25   Exception#to_s
  0.00      0.000     0.000     0.000     0.000       12   String#intern
  0.00      0.000     0.000     0.000     0.000        2   Pry::CommandSet#create_command
  0.00      0.000     0.000     0.000     0.000        4   Kernel#object_id
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry::CLI>#add_plugin_options
  0.00      0.001     0.000     0.000     0.001        1   OptionParser#initialize
  0.00      0.000     0.000     0.000     0.000       26   Array#length
  0.00      0.000     0.000     0.000     0.000       23   Fixnum#*
  0.00      0.000     0.000     0.000     0.000       69   Fixnum#zero?
  0.00      0.021     0.000     0.000     0.021        1   Slop#initialize
  0.00      0.000     0.000     0.000     0.000        6   Proc#call
  0.00      0.000     0.000     0.000     0.000        1   <Class::OpenSSL::X509::Store>#allocate
  0.00      0.000     0.000     0.000     0.000        6   String#force_encoding
  0.00      0.000     0.000     0.000     0.000       14   Array#hash
  0.00      0.000     0.000     0.000     0.000       19   Gem::Specification#files=
  0.00      0.000     0.000     0.000     0.000       10   Module#autoload
  0.00      0.000     0.000     0.000     0.000        5   Regexp#inspect
  0.00      0.001     0.000     0.000     0.001        1   PP::PPMethods#guard_inspect_key
  0.00      0.000     0.000     0.000     0.000       23   Hash#delete
  0.00      0.000     0.000     0.000     0.000       17   Gem::Specification#description=
  0.00      0.000     0.000     0.000     0.000        1   Slop#parse!
  0.00      0.000     0.000     0.000     0.000       24   <Class::Regexp>#last_match
  0.00      0.000     0.000     0.000     0.000       33   Kernel#kind_of?
  0.00      0.000     0.000     0.000     0.000       14   Fixnum#>
  0.00      0.000     0.000     0.000     0.000       13   Module#extended
  0.00      0.001     0.000     0.000     0.001        4   OptionParser#define
  0.00      0.000     0.000     0.000     0.000       20   Gem::Specification#required_rubygems_version=
  0.00      0.000     0.000     0.000     0.000       20   Gem::Specification#loaded_from=
  0.00      0.000     0.000     0.000     0.000        4   <Class::OptionParser::Switch>#guess
  0.00      0.000     0.000     0.000     0.000       14   Fixnum#==
  0.00      0.000     0.000     0.000     0.000       13   Gem::Specification#extra_rdoc_files=
  0.00      0.000     0.000     0.000     0.000       21   Fixnum#<
  0.00      0.000     0.000     0.000     0.000        1   File#initialize
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient::Util#urify
  0.00      0.000     0.000     0.000     0.000       13   Gem::Specification#licenses=
  0.00      0.000     0.000     0.000     0.000       26   Thread#[]
  0.00      0.000     0.000     0.000     0.000       36   Symbol#===
  0.00      0.000     0.000     0.000     0.000        7   Exception#set_backtrace
  0.00      0.000     0.000     0.000     0.000       10   <Module::CodeRay>#coderay_path
  0.00      0.172     0.000     0.000     0.172        1   <Class::Pry>#reset_defaults
  0.00      0.000     0.000     0.000     0.000        1   Pry::CommandSet#initialize
  0.00      0.000     0.000     0.000     0.000        2   Array#collect
  0.00      0.000     0.000     0.000     0.000       17   BasicObject#!
  0.00      0.000     0.000     0.000     0.000       17   String#<<
  0.00      0.000     0.000     0.000     0.000        1   URI::Parser#split
  0.00      0.000     0.000     0.000     0.000        8   Hash#invert
  0.00      0.000     0.000     0.000     0.000        1   OptionParser#permute!
  0.00      0.004     0.000     0.000     0.004        6   <Class::Gem::Specification>#find_by_path
  0.00      0.000     0.000     0.000     0.000       18   OptionParser#visit
  0.00      0.000     0.000     0.000     0.000        1   REXML::XMLDecl#initialize
  0.00      0.021     0.000     0.000     0.021        1   Slop#build_option
  0.00      0.000     0.000     0.000     0.000       21   <Class::Hash>#allocate
  0.00      0.000     0.000     0.000     0.000        6   OpenStruct#modifiable
  0.00      0.000     0.000     0.000     0.000        4   Array#delete_if
  0.00      0.000     0.000     0.000     0.000       13   Exception#exception
  0.00      0.000     0.000     0.000     0.000       40   Kernel#initialize_copy
  0.00      0.000     0.000     0.000     0.000       36   Symbol#to_sym
  0.00      0.037     0.000     0.000     0.037        1   Pry::PluginManager#locate_plugins
  0.00      0.000     0.000     0.000     0.000        8   Gem::Specification#add_runtime_dependency
  0.00      0.000     0.000     0.000     0.000        8   Module#undef_method
  0.00      0.000     0.000     0.000     0.000        7   Hash#initialize
  0.00      0.230     0.000     0.000     0.230        1   Meta::Database#initialize
  0.00      0.000     0.000     0.000     0.000        4   OptionParser::List#append
  0.00      0.000     0.000     0.000     0.000        5   <Class::SQLite3::Statement>#allocate
  0.00      0.000     0.000     0.000     0.000       13   Exception#backtrace
  0.00      0.000     0.000     0.000     0.000       15   Array#push
  0.00      0.000     0.000     0.000     0.000        4   OptionParser::List#update
  0.00      0.000     0.000     0.000     0.000        2   Fixnum#div
  0.00      0.000     0.000     0.000     0.000        5   SQLite3::Statement#bind_params
  0.00      0.000     0.000     0.000     0.000        4   <Class::Proc>#new
  0.00      0.000     0.000     0.000     0.000        1   IO#each_line
  0.00      0.000     0.000     0.000     0.000       24   String#hash
  0.00      0.000     0.000     0.000     0.000        1   PrettyPrint#initialize
  0.00      0.000     0.000     0.000     0.000        7   PrettyPrint::Group#initialize
  0.00      0.000     0.000     0.000     0.000       12   MatchData#end
  0.00      0.000     0.000     0.000     0.000        7   PrettyPrint::Text#add
  0.00      0.000     0.000     0.000     0.000       26   <Class::Thread>#current
  0.00      0.000     0.000     0.000     0.000       20   <Class::Regexp>#allocate
  0.00      0.209     0.000     0.000     0.209        1   <Class::Pry>#init
  0.00      0.001     0.000     0.000     0.001        1   Object#DelegateClass
  0.00      0.000     0.000     0.000     0.000        9   Fixnum#to_s
  0.00      0.000     0.000     0.000     0.000        6  *PrettyPrint#group_sub
  0.00      0.000     0.000     0.000     0.000        5   Gem::Specification#test_files=
  0.00      0.000     0.000     0.000     0.000        1   OpenSSL::X509::Store#initialize
  0.00      0.021     0.000     0.000     0.021        1   Slop#extract_long_flag
  0.00      0.000     0.000     0.000     0.000       17   String#length
  0.00      0.000     0.000     0.000     0.000        1   Symbol#to_proc
  0.00      0.000     0.000     0.000     0.000        1   <Class::Gem::Specification>#reset
  0.00      0.000     0.000     0.000     0.000       10   Gem::Specification#rdoc_options=
  0.00      0.000     0.000     0.000     0.000        3   CodeRay::PluginHost#plugin_path
  0.00      0.000     0.000     0.000     0.000        1   URI::Parser#parse
  0.00      0.000     0.000     0.000     0.000        3   <Module::MethodSource::MethodExtensions>#included
  0.00      0.000     0.000     0.000     0.000        7   String#downcase
  0.00      0.000     0.000     0.000     0.000        4   PP::PPMethods#check_inspect_key
  0.00      0.000     0.000     0.000     0.000        9   Gem::Specification#executables=
  0.00      0.000     0.000     0.000     0.000        9   Gem::Specification#required_ruby_version=
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#basename
  0.00      0.000     0.000     0.000     0.000        2   String#[]
  0.00      0.000     0.000     0.000     0.000        1   Slop::Option#required?
  0.00      0.000     0.000     0.000     0.000        2   Pry::Helpers::BaseHelpers#windows_ansi?
  0.00      0.000     0.000     0.000     0.000        2   Pry::Helpers::BaseHelpers#use_ansi_codes?
  0.00      0.000     0.000     0.000     0.000        2   Array#reject!
  0.00      0.000     0.000     0.000     0.000        7   String#chomp!
  0.00      0.000     0.000     0.000     0.000        8   String#end_with?
  0.00      0.000     0.000     0.000     0.000       12   Exception#message
  0.00      0.000     0.000     0.000     0.000        3   Pry::Helpers::BaseHelpers#mri_18?
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#exist?
  0.00      0.001     0.000     0.000     0.001        4   OpenStruct#initialize
  0.00      0.000     0.000     0.000     0.000        1   IO#puts
  0.00      0.000     0.000     0.000     0.000        1   REXML::Encoding#encoding=
  0.00      0.000     0.000     0.000     0.000        1   Kernel#puts
  0.00      0.000     0.000     0.000     0.000        1   Slop#process_item
  0.00      0.021     0.000     0.000     0.021        1   Slop#on
  0.00      0.000     0.000     0.000     0.000        7   String#start_with?
  0.00      0.000     0.000     0.000     0.000        2  *Kernel#catch
  0.00      0.000     0.000     0.000     0.000        2   Pry::CommandSet#disabled_command
  0.00      0.000     0.000     0.000     0.000        4   Array#shift
  0.00      0.000     0.000     0.000     0.000       12   MatchData#size
  0.00      0.029     0.000     0.000     0.029        1   <Class::Pry>#default_editor_for_platform
  0.00      0.000     0.000     0.000     0.000        6   PrettyPrint::GroupQueue#delete
  0.00      0.000     0.000     0.000     0.000        4   OptionParser#notwice
  0.00      0.000     0.000     0.000     0.000        2   CodeRay::Plugin#plugin_host
  0.00      0.001     0.000     0.000     0.001        4  *PP::PPMethods#pp
  0.00      0.000     0.000     0.000     0.000        4   Comparable#<
  0.00      0.000     0.000     0.000     0.000        4   PP::PPMethods#push_inspect_key
  0.00      0.000     0.000     0.000     0.000        8   PrettyPrint#break_outmost_groups
  0.00      0.000     0.000     0.000     0.000        1   <Module::Gem>#refresh
  0.00      0.000     0.000     0.000     0.000        2   URI::Generic#set_port
  0.00      0.000     0.000     0.000     0.000        1   Pry::Helpers::BaseHelpers#rbx?
  0.00      0.037     0.000     0.000     0.037        1   <Class::Pry>#locate_plugins
  0.00      0.059     0.000     0.000     0.059        1   CodeRay::PluginHost#load_plugin_map
  0.00      0.000     0.000     0.000     0.000        9   BasicObject#!=
  0.00      0.000     0.000     0.000     0.000        2   CodeRay::PluginHost#path_to
  0.00      0.000     0.000     0.000     0.000        1   <Class::Meta::Core::Primitive>#setDatabase
  0.00      0.015     0.000     0.000     0.015        1   Proc#yield
  0.00      0.000     0.000     0.000     0.000        6   String#to_sym
  0.00      0.000     0.000     0.000     0.000        1   OptionParser#add_officious
  0.00      0.000     0.000     0.000     0.000        1   <Class::Gem::Specification>#dirs
  0.00      0.000     0.000     0.000     0.000        1   Slop#parse
  0.00      0.000     0.000     0.000     0.000        2   Hash#merge
  0.00      0.000     0.000     0.000     0.000        5   Hash#include?
